external_code,hub_code,name,slug,category,description,condition,status,deposit_eur,max_loan_days,replacement_cost_eur,estimated_waste_kg,tags,acquired_at
ITM-000053,HUB-MAD-005,Carpa plegable 3x3,carpa-plegable-3x3-itm-000053,events,"Carpa plegable 3x3 revisado por el equipo de Nodo Bellas Vistas, con accesorios básicos y guía de uso incluida.",excellent,available,0,5,199,9.3,events|tetuán|excellent,2025-03-06
ITM-000054,HUB-MAD-006,Medidor láser,medidor-laser-itm-000054,technology,"Medidor láser revisado por el equipo de Nodo Opañel, con accesorios básicos y guía de uso incluida.",good,available,10,6,216,2.1,technology|carabanchel|good,2025-03-09
ITM-000055,HUB-MAD-007,Sierra de calar,sierra-de-calar-itm-000055,tools,"Sierra de calar revisado por el equipo de Nodo Almendrales, con accesorios básicos y guía de uso incluida.",good,available,20,7,233,3.4,tools|usera|good,2025-03-12
ITM-000056,HUB-MAD-008,Batidora de vaso,batidora-de-vaso-itm-000056,kitchen,"Batidora de vaso revisado por el equipo de Nodo Numancia, con accesorios básicos y guía de uso incluida.",fair,available,30,3,250,4.7,kitchen|puente de vallecas|fair,2025-03-15
ITM-000057,HUB-MAD-009,Saco de dormir,saco-de-dormir-itm-000057,outdoor,"Saco de dormir revisado por el equipo de Nodo Pacífico, con accesorios básicos y guía de uso incluida.",excellent,available,0,4,267,6,outdoor|retiro|excellent,2025-03-18
ITM-000058,HUB-MAD-010,Kit reparación de bici,kit-reparacion-de-bici-itm-000058,mobility,"Kit reparación de bici revisado por el equipo de Nodo Canillas, con accesorios básicos y guía de uso incluida.",good,available,10,5,44,7.3,mobility|hortaleza|good,2025-03-21
ITM-000059,HUB-MAD-011,Pack de 30 sillas,pack-de-30-sillas-itm-000059,events,"Pack de 30 sillas revisado por el equipo de Nodo Puerta del Ángel, con accesorios básicos y guía de uso incluida.",good,maintenance,0,6,61,8.6,events|latina|good,2025-03-24
ITM-000060,HUB-MAD-012,Tablet gráfica,tablet-grafica-itm-000060,technology,"Tablet gráfica revisado por el equipo de Nodo Argüelles, con accesorios básicos y guía de uso incluida.",fair,available,30,7,78,1.4,technology|moncloa-aravaca|fair,2025-03-27
ITM-000061,HUB-MAD-001,Taladro percutor 18V,taladro-percutor-18v-itm-000061,tools,"Taladro percutor 18V revisado por el equipo de Nodo Malasaña, con accesorios básicos y guía de uso incluida.",excellent,available,0,3,95,2.7,tools|centro|excellent,2025-03-30
ITM-000062,HUB-MAD-002,Vajilla para 24 personas,vajilla-para-24-personas-itm-000062,kitchen,"Vajilla para 24 personas revisado por el equipo de Nodo Lavapiés, con accesorios básicos y guía de uso incluida.",good,available,10,4,112,4,kitchen|centro|good,2025-04-02
ITM-000063,HUB-MAD-003,Tienda de campaña 3P,tienda-de-campana-3p-itm-000063,outdoor,"Tienda de campaña 3P revisado por el equipo de Nodo Palos de Moguer, con accesorios básicos y guía de uso incluida.",good,available,20,5,129,5.3,outdoor|arganzuela|good,2025-04-05
ITM-000064,HUB-MAD-004,Bicicleta urbana,bicicleta-urbana-itm-000064,mobility,"Bicicleta urbana revisado por el equipo de Nodo Trafalgar, con accesorios básicos y guía de uso incluida.",fair,available,30,6,146,6.6,mobility|chamberí|fair,2025-04-08
ITM-000065,HUB-MAD-005,Proyector portátil,proyector-portatil-itm-000065,events,"Proyector portátil revisado por el equipo de Nodo Bellas Vistas, con accesorios básicos y guía de uso incluida.",excellent,available,0,7,163,7.9,events|tetuán|excellent,2025-04-11
ITM-000066,HUB-MAD-006,Escáner documental,escaner-documental-itm-000066,technology,"Escáner documental revisado por el equipo de Nodo Opañel, con accesorios básicos y guía de uso incluida.",good,available,10,3,180,9.2,technology|carabanchel|good,2025-04-14
ITM-000067,HUB-MAD-007,Lijadora orbital,lijadora-orbital-itm-000067,tools,"Lijadora orbital revisado por el equipo de Nodo Almendrales, con accesorios básicos y guía de uso incluida.",good,available,20,4,197,2,tools|usera|good,2025-04-17
ITM-000068,HUB-MAD-008,Robot de cocina,robot-de-cocina-itm-000068,kitchen,"Robot de cocina revisado por el equipo de Nodo Numancia, con accesorios básicos y guía de uso incluida.",fair,available,30,5,214,3.3,kitchen|puente de vallecas|fair,2025-04-20
ITM-000069,HUB-MAD-009,Mochila de trekking 50L,mochila-de-trekking-50l-itm-000069,outdoor,"Mochila de trekking 50L revisado por el equipo de Nodo Pacífico, con accesorios básicos y guía de uso incluida.",excellent,available,0,6,231,4.6,outdoor|retiro|excellent,2025-04-23
ITM-000070,HUB-MAD-010,Carrito de carga plegable,carrito-de-carga-plegable-itm-000070,mobility,"Carrito de carga plegable revisado por el equipo de Nodo Canillas, con accesorios básicos y guía de uso incluida.",good,available,10,7,248,5.9,mobility|hortaleza|good,2025-04-26
ITM-000071,HUB-MAD-011,Altavoz autoamplificado,altavoz-autoamplificado-itm-000071,events,"Altavoz autoamplificado revisado por el equipo de Nodo Puerta del Ángel, con accesorios básicos y guía de uso incluida.",good,available,20,3,265,7.2,events|latina|good,2025-04-29
ITM-000072,HUB-MAD-012,Kit de podcast,kit-de-podcast-itm-000072,technology,"Kit de podcast revisado por el equipo de Nodo Argüelles, con accesorios básicos y guía de uso incluida.",fair,available,30,4,42,8.5,technology|moncloa-aravaca|fair,2025-05-02
ITM-000073,HUB-MAD-001,Caja de herramientas,caja-de-herramientas-itm-000073,tools,"Caja de herramientas revisado por el equipo de Nodo Malasaña, con accesorios básicos y guía de uso incluida.",excellent,available,0,5,59,1.3,tools|centro|excellent,2025-05-05
ITM-000074,HUB-MAD-002,Olla de gran capacidad,olla-de-gran-capacidad-itm-000074,kitchen,"Olla de gran capacidad revisado por el equipo de Nodo Lavapiés, con accesorios básicos y guía de uso incluida.",good,available,10,6,76,2.6,kitchen|centro|good,2025-05-08
ITM-000075,HUB-MAD-003,Mesa de camping,mesa-de-camping-itm-000075,outdoor,"Mesa de camping revisado por el equipo de Nodo Palos de Moguer, con accesorios básicos y guía de uso incluida.",good,available,20,7,93,3.9,outdoor|arganzuela|good,2025-05-11
ITM-000076,HUB-MAD-004,Silla infantil para bici,silla-infantil-para-bici-itm-000076,mobility,"Silla infantil para bici revisado por el equipo de Nodo Trafalgar, con accesorios básicos y guía de uso incluida.",fair,available,30,3,110,5.2,mobility|chamberí|fair,2025-05-14
ITM-000077,HUB-MAD-005,Guirnalda exterior,guirnalda-exterior-itm-000077,events,"Guirnalda exterior revisado por el equipo de Nodo Bellas Vistas, con accesorios básicos y guía de uso incluida.",excellent,available,0,4,127,6.5,events|tetuán|excellent,2025-05-17
ITM-000078,HUB-MAD-006,Cámara instantánea,camara-instantanea-itm-000078,technology,"Cámara instantánea revisado por el equipo de Nodo Opañel, con accesorios básicos y guía de uso incluida.",good,available,10,5,144,7.8,technology|carabanchel|good,2025-05-20
ITM-000079,HUB-MAD-007,Hidrolimpiadora compacta,hidrolimpiadora-compacta-itm-000079,tools,"Hidrolimpiadora compacta revisado por el equipo de Nodo Almendrales, con accesorios básicos y guía de uso incluida.",good,available,20,6,161,9.1,tools|usera|good,2025-05-23
ITM-000080,HUB-MAD-008,Máquina de pasta,maquina-de-pasta-itm-000080,kitchen,"Máquina de pasta revisado por el equipo de Nodo Numancia, con accesorios básicos y guía de uso incluida.",fair,available,30,7,178,1.9,kitchen|puente de vallecas|fair,2025-05-26
ITM-000081,HUB-MAD-009,Prismáticos 10x42,prismaticos-10x42-itm-000081,outdoor,"Prismáticos 10x42 revisado por el equipo de Nodo Pacífico, con accesorios básicos y guía de uso incluida.",excellent,available,0,3,195,3.2,outdoor|retiro|excellent,2025-05-29
ITM-000082,HUB-MAD-010,Bomba de pie,bomba-de-pie-itm-000082,mobility,"Bomba de pie revisado por el equipo de Nodo Canillas, con accesorios básicos y guía de uso incluida.",good,available,10,4,212,4.5,mobility|hortaleza|good,2025-06-01
ITM-000083,HUB-MAD-011,Carpa plegable 3x3,carpa-plegable-3x3-itm-000083,events,"Carpa plegable 3x3 revisado por el equipo de Nodo Puerta del Ángel, con accesorios básicos y guía de uso incluida.",good,available,20,5,229,5.8,events|latina|good,2025-06-04
ITM-000084,HUB-MAD-012,Medidor láser,medidor-laser-itm-000084,technology,"Medidor láser revisado por el equipo de Nodo Argüelles, con accesorios básicos y guía de uso incluida.",fair,available,30,6,246,7.1,technology|moncloa-aravaca|fair,2025-06-07
ITM-000085,HUB-MAD-001,Sierra de calar,sierra-de-calar-itm-000085,tools,"Sierra de calar revisado por el equipo de Nodo Malasaña, con accesorios básicos y guía de uso incluida.",excellent,available,0,7,263,8.4,tools|centro|excellent,2025-06-10
ITM-000086,HUB-MAD-002,Batidora de vaso,batidora-de-vaso-itm-000086,kitchen,"Batidora de vaso revisado por el equipo de Nodo Lavapiés, con accesorios básicos y guía de uso incluida.",good,available,10,3,40,1.2,kitchen|centro|good,2025-06-13
ITM-000087,HUB-MAD-003,Saco de dormir,saco-de-dormir-itm-000087,outdoor,"Saco de dormir revisado por el equipo de Nodo Palos de Moguer, con accesorios básicos y guía de uso incluida.",good,available,20,4,57,2.5,outdoor|arganzuela|good,2025-06-16
ITM-000088,HUB-MAD-004,Kit reparación de bici,kit-reparacion-de-bici-itm-000088,mobility,"Kit reparación de bici revisado por el equipo de Nodo Trafalgar, con accesorios básicos y guía de uso incluida.",fair,maintenance,0,5,74,3.8,mobility|chamberí|fair,2025-06-19
ITM-000089,HUB-MAD-005,Pack de 30 sillas,pack-de-30-sillas-itm-000089,events,"Pack de 30 sillas revisado por el equipo de Nodo Bellas Vistas, con accesorios básicos y guía de uso incluida.",excellent,available,0,6,91,5.1,events|tetuán|excellent,2025-06-22
ITM-000090,HUB-MAD-006,Tablet gráfica,tablet-grafica-itm-000090,technology,"Tablet gráfica revisado por el equipo de Nodo Opañel, con accesorios básicos y guía de uso incluida.",good,available,10,7,108,6.4,technology|carabanchel|good,2025-06-25
ITM-000091,HUB-MAD-007,Taladro percutor 18V,taladro-percutor-18v-itm-000091,tools,"Taladro percutor 18V revisado por el equipo de Nodo Almendrales, con accesorios básicos y guía de uso incluida.",good,available,20,3,125,7.7,tools|usera|good,2025-06-28
ITM-000092,HUB-MAD-008,Vajilla para 24 personas,vajilla-para-24-personas-itm-000092,kitchen,"Vajilla para 24 personas revisado por el equipo de Nodo Numancia, con accesorios básicos y guía de uso incluida.",fair,available,30,4,142,9,kitchen|puente de vallecas|fair,2025-07-01
ITM-000093,HUB-MAD-009,Tienda de campaña 3P,tienda-de-campana-3p-itm-000093,outdoor,"Tienda de campaña 3P revisado por el equipo de Nodo Pacífico, con accesorios básicos y guía de uso incluida.",excellent,available,0,5,159,1.8,outdoor|retiro|excellent,2025-07-04
ITM-000094,HUB-MAD-010,Bicicleta urbana,bicicleta-urbana-itm-000094,mobility,"Bicicleta urbana revisado por el equipo de Nodo Canillas, con accesorios básicos y guía de uso incluida.",good,available,10,6,176,3.1,mobility|hortaleza|good,2025-07-07
ITM-000095,HUB-MAD-011,Proyector portátil,proyector-portatil-itm-000095,events,"Proyector portátil revisado por el equipo de Nodo Puerta del Ángel, con accesorios básicos y guía de uso incluida.",good,retired,0,7,193,4.4,events|latina|good,2025-07-10
ITM-000096,HUB-MAD-012,Escáner documental,escaner-documental-itm-000096,technology,"Escáner documental revisado por el equipo de Nodo Argüelles, con accesorios básicos y guía de uso incluida.",fair,available,30,3,210,5.7,technology|moncloa-aravaca|fair,2025-07-13
ITM-000097,HUB-MAD-001,Lijadora orbital,lijadora-orbital-itm-000097,tools,"Lijadora orbital revisado por el equipo de Nodo Malasaña, con accesorios básicos y guía de uso incluida.",excellent,available,0,4,227,7,tools|centro|excellent,2025-07-16
ITM-000098,HUB-MAD-002,Robot de cocina,robot-de-cocina-itm-000098,kitchen,"Robot de cocina revisado por el equipo de Nodo Lavapiés, con accesorios básicos y guía de uso incluida.",good,available,10,5,244,8.3,kitchen|centro|good,2025-07-19
ITM-000099,HUB-MAD-003,Mochila de trekking 50L,mochila-de-trekking-50l-itm-000099,outdoor,"Mochila de trekking 50L revisado por el equipo de Nodo Palos de Moguer, con accesorios básicos y guía de uso incluida.",good,available,20,6,261,9.6,outdoor|arganzuela|good,2025-07-22
ITM-000100,HUB-MAD-004,Carrito de carga plegable,carrito-de-carga-plegable-itm-000100,mobility,"Carrito de carga plegable revisado por el equipo de Nodo Trafalgar, con accesorios básicos y guía de uso incluida.",fair,available,30,7,38,2.4,mobility|chamberí|fair,2025-07-25
ITM-000101,HUB-MAD-005,Altavoz autoamplificado,altavoz-autoamplificado-itm-000101,events,"Altavoz autoamplificado revisado por el equipo de Nodo Bellas Vistas, con accesorios básicos y guía de uso incluida.",excellent,available,0,3,55,3.7,events|tetuán|excellent,2025-07-28
ITM-000102,HUB-MAD-006,Kit de podcast,kit-de-podcast-itm-000102,technology,"Kit de podcast revisado por el equipo de Nodo Opañel, con accesorios básicos y guía de uso incluida.",good,available,10,4,72,5,technology|carabanchel|good,2025-07-31
ITM-000103,HUB-MAD-007,Caja de herramientas,caja-de-herramientas-itm-000103,tools,"Caja de herramientas revisado por el equipo de Nodo Almendrales, con accesorios básicos y guía de uso incluida.",good,available,20,5,89,6.3,tools|usera|good,2025-08-03
ITM-000104,HUB-MAD-008,Olla de gran capacidad,olla-de-gran-capacidad-itm-000104,kitchen,"Olla de gran capacidad revisado por el equipo de Nodo Numancia, con accesorios básicos y guía de uso incluida.",fair,available,30,6,106,7.6,kitchen|puente de vallecas|fair,2025-08-06
ITM-000105,HUB-MAD-009,Mesa de camping,mesa-de-camping-itm-000105,outdoor,"Mesa de camping revisado por el equipo de Nodo Pacífico, con accesorios básicos y guía de uso incluida.",excellent,available,0,7,123,8.9,outdoor|retiro|excellent,2025-08-09
ITM-000106,HUB-MAD-010,Silla infantil para bici,silla-infantil-para-bici-itm-000106,mobility,"Silla infantil para bici revisado por el equipo de Nodo Canillas, con accesorios básicos y guía de uso incluida.",good,available,10,3,140,1.7,mobility|hortaleza|good,2025-08-12
ITM-000107,HUB-MAD-011,Guirnalda exterior,guirnalda-exterior-itm-000107,events,"Guirnalda exterior revisado por el equipo de Nodo Puerta del Ángel, con accesorios básicos y guía de uso incluida.",good,available,20,4,157,3,events|latina|good,2025-08-15
